opeid6,level,sector,hbcu,completion_rate_150,share_outstanding_ug_5,cdr3_wgtd,pct25_earn_wne_p10,est_fte,white_share,black_share,hisp_share,asian_share,aian_share,nhpi_share,twomore_share,nra_share,unkn_share
3803,Four-year,Nonprofit 4-year,0,0.87400001,0.392478255,0.0014464,31700,1525,0.6604,0.018,0.0754,0.0588,0.0055,0.0062,0.0678,0.0823,0.0256
3804,Four-year,Nonprofit 4-year,0,0.78539997,0.751747284,0.012115445,28000,3114,0.696317767,0.021531196,0.09994006,0.043384798,0.006821426,0.008667107,0.079567899,0.032452094,0.011306564
3805,Four-year,Public 4-year,0,0.29820001,1.023614134,0.0232738,19600,3774,0.328,0.0074,0.5449,0.0145,0.0169,0.002,0.0446,0.0037,0.0378
3806,Four-year,Nonprofit 4-year,0,0.35030001,0.977841333,0.1074612,23900,1060,0.633,0.2345,0.0535,0.0073,0.0073,0.0036,0.0097,0.051,0
3808,Four-year,Nonprofit 4-year,0,0.3396,1.018737401,0.1695364,28000,541,0.5405,0.2216,0.0505,0.009,0.009,0.0054,0.0234,0.0072,0.1333
3809,Four-year,Public 4-year,1,0.25999999,1.153601876,0.104576,14200,1104,0.8614,0.0721,0.0135,0.0071,0.0024,0,0.0285,0.0063,0.0087
3810,Four-year,Public 4-year,0,0.37900001,1.06797927,0.091332003,19900,1965,0.8212,0.0578,0.0091,0.0073,0.0043,0.003,0.0207,0.0511,0.0255
3811,Four-year,Nonprofit 4-year,0,0.41229999,0.968016039,0.1108968,21700,758,0.5185,0.0582,0.0291,0.0053,0,0.0013,0.0079,0.0913,0.2884
3812,Four-year,Public 4-year,0,0.36250001,1.090247896,0.060974602,19200,3461,0.865,0.05,0.0172,0.0042,0.0014,0.0008,0.0347,0.022,0.0045
3813,Four-year,Public 4-year,0,0.3179,1.144280083,0.080449603,18200,1149,0.7485,0.1637,0.0169,0.0101,0.0101,0,0,0,0.0506
3815,Four-year,Public 4-year,0,0.45910001,1.086979825,0.062259901,21100,10346,0.8427,0.0637,0.0219,0.0093,0.003,0.0007,0.0304,0.0153,0.013
3816,Two-year,Public 2-year,0,0.2273,1.014494262,0.0525245,11800,1084,0.9814,0.0119,0,0.0015,0.0007,0.0015,0.003,0,0
3818,Four-year,Nonprofit 4-year,0,0.46669999,0.972106587,0.039009601,27500,2111,0.4817,0.0916,0.0272,0.0105,0.0105,0.0021,0.0016,0.0707,0.3042
3819,Four-year,Nonprofit 4-year,0,0.46000001,1.011349691,0.052447699,21900,388,0.601,0.0855,0.0415,0.0078,0.0026,0,0.0233,0.1606,0.0777
3820,Four-year,For-profit 4-year,0,0.2244,1.18641231,0.136646,17000,956,0.3855,0.2008,0.0817,0.0027,0.004,0.0094,0.0187,0.1178,0.1794
3822,Four-year,Public 4-year,0,0.48190001,0.99655995,0.048490301,24200,2956,0.7678,0.0852,0.0603,0.016,0.0028,0.0014,0.0387,0.0082,0.0195
3823,Four-year,Public 4-year,0,0.4673,1.037124626,0.057556201,22400,2273,0.7457,0.0281,0.0065,0.004,0.001,0,0.0211,0.0266,0.167
3826,Four-year,Public 4-year,1,0.29229999,1.168624126,0.050272599,16500,2401,0.6901,0.1432,0.0185,0.0056,0.0129,0.0028,0.0747,0.0157,0.0365
3827,Four-year,Public 4-year,0,0.56336504,0.922937509,0.039584655,28800,27463,0.795875075,0.044713865,0.037530966,0.014705198,0.001379487,0.000849089,0.040871,0.060429236,0.003730826
3828,Four-year,Public 4-year,0,0.3915,1.108878117,0.072055496,14500,1780,0.9272,0.0128,0.0072,0.0072,0.0005,0.0015,0.0359,0,0.0077
